MUNICIPIO,Ano,Codigo,Area,Nome,BACIA
Andaraí,2000,2901304,217.677261,Afloramento Rochoso,Alto
Barra da Estiva,2000,2902807,22.023146,Afloramento Rochoso,Alto
Barro Alto,2000,2903235,0.087634,Afloramento Rochoso,Alto
Boninal,2000,2904001,36.852437,Afloramento Rochoso,Alto
Ibicoara,2000,2912202,12.629746,Afloramento Rochoso,Alto
Iramaia,2000,2914307,1.131777,Afloramento Rochoso,Alto
Iraquara,2000,2914406,118.030634,Afloramento Rochoso,Alto
Itaetê,2000,2915007,20.468148,Afloramento Rochoso,Alto
Lençóis,2000,2919306,531.071778,Afloramento Rochoso,Alto
Mucugê,2000,2921906,486.164897,Afloramento Rochoso,Alto
Mulungu do Morro,2000,2922052,51.596985,Afloramento Rochoso,Alto
Nova Redenção,2000,2922854,13.005976,Afloramento Rochoso,Alto
Palmeiras,2000,2923506,133.108651,Afloramento Rochoso,Alto
Piatã,2000,2924306,137.599005,Afloramento Rochoso,Alto
Seabra,2000,2929909,247.47408,Afloramento Rochoso,Alto
Souto Soares,2000,2930808,4.912261,Afloramento Rochoso,Alto
Andaraí,2010,2901304,419.586969,Afloramento Rochoso,Alto
Barra da Estiva,2010,2902807,52.22917,Afloramento Rochoso,Alto
Barro Alto,2010,2903235,0.262883,Afloramento Rochoso,Alto
Boninal,2010,2904001,216.977256,Afloramento Rochoso,Alto
Ibicoara,2010,2912202,32.17551,Afloramento Rochoso,Alto
Ibitiara,2010,2913002,0.447439,Afloramento Rochoso,Alto
Iramaia,2010,2914307,6.20629,Afloramento Rochoso,Alto
Iraquara,2010,2914406,194.616752,Afloramento Rochoso,Alto
Itaetê,2010,2915007,57.777508,Afloramento Rochoso,Alto
Lençóis,2010,2919306,614.217292,Afloramento Rochoso,Alto
Mucugê,2010,2921906,1844.979895,Afloramento Rochoso,Alto
Mulungu do Morro,2010,2922052,112.492335,Afloramento Rochoso,Alto
Nova Redenção,2010,2922854,22.670259,Afloramento Rochoso,Alto
Palmeiras,2010,2923506,641.953708,Afloramento Rochoso,Alto
Piatã,2010,2924306,376.18051,Afloramento Rochoso,Alto
Seabra,2010,2929909,419.95094,Afloramento Rochoso,Alto
Souto Soares,2010,2930808,44.520305,Afloramento Rochoso,Alto
Andaraí,2022,2901304,707.778806,Afloramento Rochoso,Alto
Barra da Estiva,2022,2902807,186.410701,Afloramento Rochoso,Alto
Barro Alto,2022,2903235,43.405197,Afloramento Rochoso,Alto
Boninal,2022,2904001,465.474191,Afloramento Rochoso,Alto
Ibicoara,2022,2912202,101.588565,Afloramento Rochoso,Alto
Ibitiara,2022,2913002,2.273986,Afloramento Rochoso,Alto
Iramaia,2022,2914307,12.406421,Afloramento Rochoso,Alto
Iraquara,2022,2914406,296.864622,Afloramento Rochoso,Alto
Itaetê,2022,2915007,44.140592,Afloramento Rochoso,Alto
Lençóis,2022,2919306,660.944226,Afloramento Rochoso,Alto
Mucugê,2022,2921906,6868.883686,Afloramento Rochoso,Alto
Mulungu do Morro,2022,2922052,71.559903,Afloramento Rochoso,Alto
Nova Redenção,2022,2922854,13.577047,Afloramento Rochoso,Alto
Palmeiras,2022,2923506,1656.325515,Afloramento Rochoso,Alto
Piatã,2022,2924306,506.648758,Afloramento Rochoso,Alto
Seabra,2022,2929909,448.790349,Afloramento Rochoso,Alto
Souto Soares,2022,2930808,324.62179,Afloramento Rochoso,Alto
Conceição do Coité,2000,2908408,1.138183,Afloramento Rochoso,Baixo
Ipirá,2000,2914000,14.505588,Afloramento Rochoso,Baixo
Itatim,2000,2916856,5.407347,Afloramento Rochoso,Baixo
Pé de Serra,2000,2924058,25.272318,Afloramento Rochoso,Baixo
Rafael Jambeiro,2000,2925956,17.978526,Afloramento Rochoso,Baixo
Riachão do Jacuípe,2000,2926301,5.335062,Afloramento Rochoso,Baixo
Santa Terezinha,2000,2928505,0.34894,Afloramento Rochoso,Baixo
Santo Estêvão,2000,2928802,8.641121,Afloramento Rochoso,Baixo
Serra Preta,2000,2930402,3.583491,Afloramento Rochoso,Baixo
Serrinha,2000,2930501,0.08751,Afloramento Rochoso,Baixo
Tanquinho,2000,2931103,0.087475,Afloramento Rochoso,Baixo
Barrocas,2010,2903276,18.237015,Afloramento Rochoso,Baixo
Candeal,2010,2906402,28.902672,Afloramento Rochoso,Baixo
